#,Patient Care,Price,Rating,Link,Top Review
30,Briggs Bulb Syringe Reusable Baby Nasal Aspirator fo  ...,$1.99,5.0/5.0,https://www.walmart.com/ip/Briggs-Bulb-Syringe-Reusable-Baby-Nasal-Aspirator-for-Newborns-Babies-Toddlers-Kids-and-Adults-Sterile-2oz/39791322,blank
31,"SCRUBSTAR Women's Fashion Collection ""Polar Penguins  ...",$15.96,4.5/5.0,https://www.walmart.com/ip/SCRUBSTAR-Women-s-Fashion-Collection-Polar-Penguins-Printed-Scrub-Top/435139868,blank
32,CPAP H2O Premium Distilled Water - 10 Bottle Pack,$21.99,4.6/5.0,https://www.walmart.com/ip/CPAP-H2O-Premium-Distilled-Water-10-Bottle-Pack/676534792,blank
33,"Herbal Perineal Spray - Naturally Soothing, Safe for  ...",$11.15$2.79/oz,0.0/5.0,https://www.walmart.com/ip/Herbal-Perineal-Spray-Naturally-Soothing-Safe-for-Pregnancy-and-Postpartum-4-Fl-Oz/26961041,blank
34,Dual-Head Stethoscopes,$5.73 - $10.44,4.0/5.0,https://www.walmart.com/ip/Dual-Head-Stethoscopes/14867655,blank
35,Ambimed Easy and Comfortable Diabetic Injection Aid,$27.99,4.1/5.0,https://www.walmart.com/ip/Ambimed-Easy-and-Comfortable-Diabetic-Injection-Aid/590785169,blank
36,Primacare RS-6845 CPR Mask in Red Hard Plastic Carry  ...,$6.59,3.5/5.0,https://www.walmart.com/ip/Primacare-RS-6845-CPR-Mask-in-Red-Hard-Plastic-Carrying-Case/49156009,blank
37,Medline Walker Basket Accessory,$19.25,4.1/5.0,https://www.walmart.com/ip/Medline-Walker-Basket-Accessory/7983662,blank
38,Equate Transfer Bench with Back,$75.00,4.6/5.0,https://www.walmart.com/ip/Equate-Transfer-Bench-with-Back/14179104,blank
39,"Equate Walker Tennis Balls, 2 Ct",$13.19,4.0/5.0,https://www.walmart.com/ip/Equate-Walker-Tennis-Balls-2-Ct/14179100,blank
40,MDF Acoustica Dual Head Stethoscope,$24.99,4.6/5.0,https://www.walmart.com/ip/MDF-Acoustica-Dual-Head-Stethoscope/169211069,blank
