#,Daily Living Aids,Price,Rating,Link,Top Review
22,Apex 7-Day MediPlanner Pill Organizer,$7.99,4.3/5.0,https://www.walmart.com/ip/Apex-7-Day-MediPlanner-Pill-Organizer/14089470,blank
23,"BirdRock Home 32"" Grabber Pick Up Tool",$17.99,4.8/5.0,https://www.walmart.com/ip/BirdRock-Home-32-Grabber-Pick-Up-Tool/661529496,blank
24,"AcneFree Maximum Strength Terminator 10, Acne Spot T  ...",$8.45,4.6/5.0,https://www.walmart.com/ip/AcneFree-Maximum-Strength-Terminator-10-Acne-Spot-Treatment-with-Benzoyl-Peroxide-1-oz/45582790,blank
25,Flents Ezy Dose Pill Crusher,$3.98,4.4/5.0,https://www.walmart.com/ip/Flents-Ezy-Dose-Pill-Crusher/54049566,blank
26,Westclox LCD Alarm Clock,$5.97,0.0/5.0,https://www.walmart.com/ip/Westclox-LCD-Alarm-Clock/16617257,blank
27,"Apothecary EZY Dose  Pill Crusher, 1 ea",$7.24,3.0/5.0,https://www.walmart.com/ip/Apothecary-EZY-Dose-Pill-Crusher-1-ea/42542281,blank
28,Comfort Shield® Barrier Cream Cloths Personal Wipes   ...,$3.73,4.6/5.0,https://www.walmart.com/ip/Comfort-Shield-Barrier-Cream-Cloths-Personal-Wipes-8-ct-Pack/48587731,blank
29,"Ezy Dose Pill Pouches, 50 count",$5.41,4.3/5.0,https://www.walmart.com/ip/Ezy-Dose-Pill-Pouches-50-count/10318648,blank
30,"Pack of Two Britzgo Hearing Aid Amplifiers BHA-220,   ...",$79.00,5.0/5.0,https://www.walmart.com/ip/Pack-of-Two-Britzgo-Hearing-Aid-Amplifiers-BHA-220-500hr-Battery-Life-FDA-Approved-Blue/843321786,blank
31,"MEDca Weekly Pill Organizer, 4 Times A Day, With Tra  ...",$8.46,4.5/5.0,https://www.walmart.com/ip/MEDca-Weekly-Pill-Organizer-4-Times-A-Day-With-Travel-Pill-Case-7-5-X-4-5-INCHES/536380797,blank
32,"Vicks Scent Pad Replacements, 6 Count",$5.27,4.6/5.0,https://www.walmart.com/ip/Vicks-Scent-Pad-Replacements-6-Count/10316299,blank
33,"RMS Sock Aid, Sock Puller, Stocking Aid, Stocking Do  ...",$9.95,0.0/5.0,https://www.walmart.com/ip/RMS-Sock-Aid-Sock-Puller-Stocking-Aid-Stocking-Donner-with-Foam-Handles-Made-in-USA-Limited-Lifetime-Warranty/134106880,blank
34,Aquasonic 100 Ultrasound Transmission Gel  250 mL (8  ...,$6.04,4.0/5.0,https://www.walmart.com/ip/Aquasonic-100-Ultrasound-Transmission-Gel-250-mL-8-5-oz-Squeeze-Bottle-1-Count/123107096,blank
35,"Apothecary EZY Dose  Cut n' Crush, 1 ea",$7.80,4.1/5.0,https://www.walmart.com/ip/Apothecary-EZY-Dose-Cut-n-Crush-1-ea/199407746,blank
36,Digital Hearing Amplifier - (Pair of 2) Personal Hea  ...,$39.99,3.5/5.0,https://www.walmart.com/ip/Digital-Hearing-Amplifier-Pair-2-Personal-Hearing-Enhancement-Sound-Amplifier-Rechargeable-Digital-Hearing-Amplifier-All-Day-Battery-Life-Modern-Blue/173810948,blank
37,Ezy Dose Weekly / Push-Button 1 Medtime Planner,$6.68,4.1/5.0,https://www.walmart.com/ip/Ezy-Dose-Weekly-Push-Button-1-Medtime-Planner/10996834,blank
38,"Carex 32"" Metal Reacher Grabber",$13.99,4.6/5.0,https://www.walmart.com/ip/Carex-32-Metal-Reacher-Grabber/10105202,blank
39,DOUBLETAKE 2 Pairs of Metal Compact Folding Reading   ...,$12.99,4.0/5.0,https://www.walmart.com/ip/DOUBLETAKE-2-Pairs-of-Metal-Compact-Folding-Reading-Glasses-with-Mini-Flip-Top-Carrying-Case-for-Men-and-Women-1-00x-Magnification/129561548,blank
40,Carson MagniView 2x Power Compact and Lightweight Ma  ...,$8.99,4.6/5.0,https://www.walmart.com/ip/Carson-MagniView-2x-Power-Compact-and-Lightweight-Magnifying-Glass-Hand-Held-Magnifier-with-4-5x-Spot-Lens-DS-36/17706042,blank
